geo_id,county_name,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,county_fips
0500000US13193,"Macon County, Georgia",10004,,37177,26030,,13193
0500000US13195,"Madison County, Georgia",24588,,58784,28436,,13195
0500000US13197,"Marion County, Georgia",6091,,50484,27096,,13197
0500000US13199,"Meriwether County, Georgia",16802,,56458,27400,,13199
0500000US13201,"Miller County, Georgia",4628,,58407,32027,,13201
0500000US13205,"Mitchell County, Georgia",17020,,51908,25820,,13205
0500000US13207,"Monroe County, Georgia",23623,,82863,43106,,13207
0500000US13209,"Montgomery County, Georgia",7071,,51188,27633,,13209
0500000US13211,"Morgan County, Georgia",16711,,85692,40661,,13211
0500000US13213,"Murray County, Georgia",31927,,67880,30205,,13213
0500000US13215,"Muscogee County, Georgia",158579,,56622,32811,,13215
0500000US13217,"Newton County, Georgia",89265,,73732,31537,,13217
0500000US13219,"Oconee County, Georgia",33175,,115925,55741,,13219
0500000US13221,"Oglethorpe County, Georgia",12237,,69784,32062,,13221
0500000US13223,"Paulding County, Georgia",135264,,94557,36776,,13223
0500000US13225,"Peach County, Georgia",22939,,68365,33624,,13225
0500000US13227,"Pickens County, Georgia",28545,,75293,38359,,13227
0500000US13229,"Pierce County, Georgia",15660,,56691,29266,,13229
0500000US13231,"Pike County, Georgia",15499,,84184,36105,,13231
0500000US13233,"Polk County, Georgia",33512,,55308,27807,,13233
0500000US13235,"Pulaski County, Georgia",8399,,47688,24849,,13235
0500000US13237,"Putnam County, Georgia",18856,,64163,42671,,13237
0500000US13239,"Quitman County, Georgia",1906,,36838,24325,,13239
0500000US13241,"Rabun County, Georgia",14641,,61466,38315,,13241
0500000US13243,"Randolph County, Georgia",4702,,25425,21280,,13243
0500000US13245,"Richmond County, Georgia",163638,,53197,30209,,13245
0500000US13247,"Rockdale County, Georgia",74965,,72349,34548,,13247
0500000US13249,"Schley County, Georgia",3637,,59647,30176,,13249
0500000US13251,"Screven County, Georgia",11360,,53017,29121,,13251
0500000US13253,"Seminole County, Georgia",7521,,49559,29184,,13253
0500000US13255,"Spalding County, Georgia",54196,,60217,36803,,13255
0500000US13257,"Stephens County, Georgia",21692,,52264,27521,,13257
0500000US13259,"Stewart County, Georgia",4479,,35000,21024,,13259
0500000US13261,"Sumter County, Georgia",23025,,41877,24439,,13261
0500000US13263,"Talbot County, Georgia",4910,,45098,28737,,13263
0500000US13265,"Taliaferro County, Georgia",1461,,48036,24228,,13265
0500000US13267,"Tattnall County, Georgia",19896,,52351,21462,,13267
0500000US13269,"Taylor County, Georgia",6400,,41743,25791,,13269
0500000US13271,"Telfair County, Georgia",9652,,44948,17226,,13271
0500000US13273,"Terrell County, Georgia",7000,,43812,24665,,13273
0500000US13275,"Thomas County, Georgia",35967,,60140,33284,,13275
0500000US13277,"Tift County, Georgia",32200,,53165,29381,,13277
0500000US13279,"Toombs County, Georgia",20567,,54130,27940,,13279
0500000US13281,"Towns County, Georgia",11345,,58400,39773,,13281
0500000US13283,"Treutlen County, Georgia",5131,,43750,25728,,13283
0500000US13285,"Troup County, Georgia",54472,,54905,31830,,13285
0500000US13287,"Turner County, Georgia",6858,,39565,23275,,13287
0500000US13289,"Twiggs County, Georgia",6617,,55439,32037,,13289
0500000US13291,"Union County, Georgia",22200,,65697,40312,,13291
0500000US13293,"Upson County, Georgia",22140,,50904,29772,,13293
0500000US13295,"Walker County, Georgia",55378,,55887,30482,,13295
0500000US13297,"Walton County, Georgia",79247,,82381,36752,,13297
0500000US13299,"Ware County, Georgia",27881,,44833,23550,,13299
0500000US13301,"Warren County, Georgia",4196,,46776,24793,,13301
0500000US13303,"Washington County, Georgia",16165,,44009,24825,,13303
0500000US13305,"Wayne County, Georgia",23998,,49562,25077,,13305
0500000US13307,"Webster County, Georgia",2031,,40764,25407,,13307
0500000US13309,"Wheeler County, Georgia",6470,,45262,19272,,13309
0500000US13311,"White County, Georgia",23695,,69747,34519,,13311
0500000US13313,"Whitfield County, Georgia",80065,,64262,30593,,13313
0500000US13315,"Wilcox County, Georgia",7306,,48036,21028,,13315
0500000US13317,"Wilkes County, Georgia",7733,,52542,30123,,13317
0500000US13319,"Wilkinson County, Georgia",7132,,46673,25742,,13319
0500000US13321,"Worth County, Georgia",16410,,57201,28059,,13321
