county_fips,org_count,total_revenue,total_expenses,total_gov_grants,total_org_grants,avg_revenue,avg_expenses
13155,4,47389102,46891824,4710585.0,0.0,11847275.5,11722956.0
13157,60,706852948,690686955,1425070.0,1.0,11780882.466666667,11511449.25
13159,7,19543488,20757731,476912.0,0.0,2791926.8571428573,2965390.1428571427
13161,7,2361063,2297283,148518.0,0.0,337294.71428571426,328183.28571428574
13163,17,92421561,92074535,3900.0,0.0,5436562.411764706,5416149.117647059
13165,7,51498173,51052651,393261.0,0.0,7356881.857142857,7293235.857142857
13167,3,20760551,20598190,9040729.0,0.0,6920183.666666667,6866063.333333333
13169,14,656479911,643100100,4905912.0,0.0,46891422.21428572,45935721.428571425
13171,21,89283656,85640419,1038176.0,0.0,4251602.666666667,4078115.1904761903
13173,5,8520560,8460315,56000.0,0.0,1704112.0,1692063.0
13175,36,68244777,64488857,2382409.0,1.0,1895688.25,1791357.138888889
13177,12,3738411,4245502,175518.0,0.0,311534.25,353791.8333333333
13179,44,103500767,101879909,5336650.0,0.0,2352290.159090909,2315452.477272727
13185,90,732854511,654330982,76666155.0,5.0,8142827.9,7270344.244444445
13187,36,35018266,32081304,1491336.0,1.0,972729.6111111111,891147.3333333334
13189,11,4169465,3281229,2311652.0,0.0,379042.2727272727,298293.54545454547
13191,8,3352432,3236728,376509.0,0.0,419054.0,404591.0
13193,4,1484365,1810236,936727.0,0.0,371091.25,452559.0
13195,14,64948967,63554867,8905987.0,0.0,4639211.928571428,4539633.357142857
13197,5,812840,829157,262552.0,0.0,162568.0,165831.4
13199,10,7442486,4673179,75541.0,0.0,744248.6,467317.9
13201,4,1515236,1739927,490768.0,0.0,378809.0,434981.75
13205,19,94396700,92947882,14379432.0,0.0,4968247.368421053,4891993.7894736845
13207,17,11037617,10322830,835990.0,0.0,649271.5882352941,607225.2941176471
13209,4,21520139,20107112,775809.0,0.0,5380034.75,5026778.0
13211,25,23368419,17921300,1444137.0,1.0,934736.76,716852.0
13213,13,13891559,13887074,2942008.0,0.0,1068581.4615384615,1068236.4615384615
13215,255,1394693012,1284078151,72229623.0,24.0,5469384.360784314,5035600.592156863
13217,52,844849959,807158066,2752163.0,1.0,16247114.596153846,15522270.5
13219,57,95727213,43625386,1766780.0,1.0,1679424.7894736843,765357.649122807
13221,4,794205,662886,0.0,0.0,198551.25,165721.5
13223,70,33736162,27017300,2496593.0,1.0,481945.17142857146,385961.4285714286
13225,19,9610193,9145867,69226.0,0.0,505799.63157894736,481361.4210526316
13227,58,232311492,188429591,12624220.0,2.0,4005370.5517241377,3248786.0517241377
13229,11,5292278,4996574,0.0,0.0,481116.1818181818,454234.0
13231,8,2825387,2933312,0.0,0.0,353173.375,366664.0
13233,21,17711451,16132272,1093034.0,0.0,843402.4285714285,768203.4285714285
13235,13,27794898,34337192,638023.0,0.0,2138069.076923077,2641322.4615384615
13237,19,13448997,11073453,2947517.0,0.0,707841.947368421,582813.3157894737
13241,30,201352216,190182269,5073483.0,1.0,6711740.533333333,6339408.966666667
13243,4,19994755,22101437,8841887.0,0.0,4998688.75,5525359.25
13245,232,983071855,955004297,168458718.0,16.0,4237378.685344827,4116397.831896552
13247,80,312707194,307826218,24073447.0,1.0,3908839.925,3847827.725
13249,1,11500,15079,0.0,0.0,11500.0,15079.0
13251,9,16251309,23541494,0.0,1.0,1805701.0,2615721.5555555555
13253,5,42665681,45635009,152835.0,0.0,8533136.2,9127001.8
13255,61,25281085,24937240,6025012.0,0.0,414444.01639344264,408807.2131147541
13257,33,101551786,93327574,4041978.0,0.0,3077326.8484848486,2828108.303030303
13259,2,75881153,66404961,11865516.0,0.0,37940576.5,33202480.5
13261,49,673521347,686722563,35777927.0,1.0,13745333.612244898,14014746.18367347
13263,1,205951,238498,0.0,0.0,205951.0,238498.0
13265,1,315634,164130,0.0,0.0,315634.0,164130.0
13267,5,78596602,78337598,331868.0,0.0,15719320.4,15667519.6
13269,4,268735167,268809806,0.0,0.0,67183791.75,67202451.5
13271,2,583852,446379,0.0,0.0,291926.0,223189.5
13273,5,8805257,9010751,3441753.0,0.0,1761051.4,1802150.2
13275,74,696295450,666286966,8312902.0,6.0,9409397.972972972,9003877.918918919
13277,54,576501466,550483210,6098980.0,2.0,10675953.074074075,10194133.518518519
13279,35,95732991,107446607,3314289.0,0.0,2735228.314285714,3069903.057142857
13281,19,227783227,224920859,1834852.0,0.0,11988590.894736841,11837939.94736842
13283,2,307547,278271,37604.0,0.0,153773.5,139135.5
