state_abbr,county_fips,county_name,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults
AL,01123,Tallapoosa,39.7,12.7,23.5,25.6,19.2,13.5,39.5
AL,01125,Tuscaloosa,34.7,15.6,25.0,20.6,19.5,14.3,41.0
AL,01127,Walker,41.5,13.7,26.6,25.9,19.0,12.5,35.8
AL,01129,Washington,41.1,12.9,24.1,26.1,21.0,14.5,41.1
AL,01131,Wilcox,48.0,9.8,21.4,36.1,37.8,25.2,51.2
AL,01133,Winston,42.9,13.5,26.2,27.7,19.9,12.6,39.1
GA,13001,Appling,39.2,13.4,22.0,28.7,24.5,17.9,40.6
GA,13003,Atkinson,41.8,14.0,22.0,32.9,31.5,23.2,44.0
GA,13005,Bacon,35.8,14.4,22.1,24.9,20.8,16.1,36.9
GA,13007,Baker,42.2,10.7,19.3,31.7,28.3,19.8,43.3
GA,13009,Baldwin,34.7,14.1,20.4,23.8,22.3,17.4,38.7
GA,13011,Banks,34.4,15.4,22.8,22.8,16.4,12.7,34.5
GA,13013,Barrow,30.2,15.3,19.7,20.2,17.3,14.5,35.3
GA,13015,Bartow,30.4,16.1,21.2,20.4,14.9,12.7,38.7
GA,13017,Ben Hill,40.1,12.4,20.9,30.0,28.6,21.1,41.5
GA,13019,Berrien,37.7,14.4,22.9,26.5,22.0,16.1,38.1
GA,13021,Bibb,36.8,12.6,19.5,26.1,25.9,20.4,44.7
GA,13023,Bleckley,35.3,13.9,21.8,23.6,19.5,15.4,37.7
GA,13025,Brantley,37.0,15.0,24.0,25.0,18.4,13.7,39.0
GA,13027,Brooks,40.1,11.8,20.2,30.1,26.5,19.4,40.2
GA,13029,Bryan,26.4,17.9,20.5,15.7,12.1,11.4,33.5
GA,13031,Bulloch,31.4,15.2,21.4,20.3,19.2,15.6,38.9
GA,13033,Burke,38.0,12.3,20.4,27.7,25.9,20.0,40.1
GA,13035,Butts,33.9,15.3,20.4,23.2,19.8,16.1,38.2
GA,13037,Calhoun,38.7,13.3,17.3,29.9,30.5,23.6,43.6
GA,13039,Camden,31.1,16.0,20.9,20.1,16.1,13.6,37.2
GA,13043,Candler,37.9,13.4,21.2,27.3,23.6,17.9,42.2
GA,13045,Carroll,33.4,15.7,21.3,21.4,18.1,14.8,34.2
GA,13047,Catoosa,31.6,15.8,21.3,19.1,12.4,10.3,34.1
GA,13049,Charlton,37.9,15.5,20.1,28.2,26.0,20.4,41.5
GA,13051,Chatham,29.6,15.5,18.9,19.0,17.6,14.9,33.0
GA,13053,Chattahoochee,29.7,20.6,21.0,18.3,20.3,16.9,35.8
GA,13055,Chattooga,39.6,14.5,23.1,28.0,22.6,16.3,35.2
GA,13057,Cherokee,25.8,17.2,20.2,16.5,10.8,9.8,33.5
GA,13059,Clarke,29.8,16.3,22.2,19.4,18.4,14.7,30.2
GA,13061,Clay,40.0,10.0,18.3,29.4,25.9,19.4,41.2
GA,13063,Clayton,33.8,11.9,17.0,25.1,30.8,26.5,45.2
GA,13065,Clinch,39.4,13.3,21.8,29.1,26.2,19.3,41.9
GA,13067,Cobb,23.6,15.0,18.2,15.8,12.5,11.7,29.9
GA,13069,Coffee,39.8,14.0,21.7,28.5,27.6,20.8,39.3
GA,13071,Colquitt,38.4,13.5,21.7,28.2,25.7,19.7,35.7
GA,13073,Columbia,25.0,14.4,19.4,16.4,12.2,11.1,33.1
GA,13075,Cook,37.3,14.0,22.2,27.4,25.0,18.8,37.6
GA,13077,Coweta,28.6,15.1,19.3,17.7,12.9,11.4,35.7
GA,13079,Crawford,34.8,14.1,20.6,23.3,17.9,13.9,37.3
GA,13081,Crisp,39.9,11.8,20.5,29.7,27.7,20.8,44.6
GA,13083,Dade,32.4,15.6,22.6,20.1,12.8,10.3,35.1
GA,13085,Dawson,28.7,16.0,21.0,17.6,11.2,9.5,31.6
GA,13087,Decatur,38.3,12.5,20.3,27.9,26.5,20.5,42.2
GA,13089,DeKalb,24.5,14.4,16.9,18.2,17.4,15.4,31.8
GA,13091,Dodge,37.4,13.7,20.6,26.1,22.9,17.3,40.4
GA,13093,Dooly,37.2,12.7,17.8,27.3,24.8,19.6,41.0
GA,13095,Dougherty,38.0,11.1,18.6,29.4,30.7,24.0,41.9
GA,13097,Douglas,30.7,13.9,18.2,20.4,20.0,17.7,36.3
GA,13099,Early,39.9,11.6,19.8,29.0,27.1,20.7,40.7
GA,13101,Echols,33.1,15.5,20.6,23.4,19.4,15.7,38.3
GA,13103,Effingham,28.5,16.6,20.5,17.9,13.5,12.2,37.9
GA,13105,Elbert,36.4,13.1,20.4,25.4,21.0,16.2,38.2
GA,13107,Emanuel,37.4,13.4,20.8,28.1,25.6,19.6,42.7
GA,13109,Evans,37.6,13.5,20.8,27.4,25.2,19.2,42.4
GA,13111,Fannin,35.9,13.1,20.7,23.2,13.6,9.7,38.2
GA,13113,Fayette,26.0,13.8,17.6,15.6,10.5,9.7,30.7
GA,13115,Floyd,34.5,14.8,22.3,22.5,18.4,14.5,37.3
GA,13117,Forsyth,20.9,15.3,17.4,13.4,8.5,7.7,27.7
GA,13119,Franklin,35.9,14.6,22.6,24.5,18.7,13.8,39.0
GA,13121,Fulton,24.8,15.9,16.9,16.3,14.8,13.4,28.2
GA,13123,Gilmer,35.7,13.5,20.7,22.5,13.5,10.4,34.2
GA,13125,Glascock,35.0,15.0,22.5,23.4,17.2,13.1,37.6
GA,13127,Glynn,32.7,13.9,19.3,21.7,16.3,13.2,35.1
GA,13129,Gordon,35.4,15.2,22.5,23.9,18.4,14.6,35.3
GA,13131,Grady,36.3,12.8,20.3,26.6,23.0,18.1,38.5
GA,13133,Greene,31.8,12.2,17.5,20.1,13.2,10.9,33.7
GA,13135,Gwinnett,26.2,13.1,15.7,19.2,17.6,15.5,34.9
GA,13137,Habersham,32.3,14.8,21.5,21.4,16.0,12.6,32.2
GA,13139,Hall,32.0,14.6,20.2,21.6,17.6,14.4,32.3
GA,13141,Hancock,43.1,10.9,17.5,33.9,33.7,25.1,44.8
GA,13143,Haralson,33.0,16.3,23.8,21.1,15.4,12.1,36.2
GA,13145,Harris,27.8,15.7,18.8,17.2,11.1,9.9,33.0
GA,13147,Hart,33.8,13.8,20.4,22.7,16.6,13.1,35.1
GA,13149,Heard,34.9,15.0,22.6,23.4,17.5,13.6,35.6
GA,13151,Henry,28.1,13.3,17.6,19.8,18.2,16.8,45.2
GA,13153,Houston,29.1,14.4,20.5,19.3,16.0,14.3,39.7
GA,13155,Irwin,36.8,13.7,21.5,26.1,21.4,16.3,40.3
GA,13157,Jackson,29.0,16.8,20.5,18.7,14.3,12.1,33.0
GA,13159,Jasper,34.0,14.9,21.7,22.9,17.7,13.8,37.1
GA,13161,Jeff Davis,39.9,14.0,22.2,28.5,25.3,18.5,40.4
GA,13163,Jefferson,39.8,12.0,19.9,29.4,28.6,21.8,41.3
GA,13165,Jenkins,40.3,13.2,20.5,30.5,30.1,22.4,42.5
GA,13167,Johnson,40.6,13.5,20.2,29.5,25.9,19.2,43.5
GA,13169,Jones,33.1,14.0,20.8,21.8,17.2,14.3,39.8
GA,13171,Lamar,32.4,14.8,20.9,21.5,17.8,14.6,36.6
GA,13173,Lanier,37.2,14.4,22.0,26.7,24.5,18.6,40.9
GA,13175,Laurens,35.1,14.0,20.3,26.3,23.3,18.0,44.0
GA,13177,Lee,27.7,15.1,20.2,17.5,13.8,12.3,39.2
GA,13179,Liberty,31.1,16.4,19.7,20.8,21.8,18.8,32.3
GA,13181,Lincoln,37.8,12.2,20.3,26.2,19.9,14.9,38.0
GA,13183,Long,32.1,15.9,21.3,22.2,21.7,18.6,38.4
GA,13185,Lowndes,34.0,14.3,20.5,22.1,21.7,17.6,38.7
GA,13187,Lumpkin,30.7,16.5,22.5,18.9,13.2,10.2,28.9
GA,13189,McDuffie,36.6,12.9,20.4,25.4,22.6,17.5,38.9
GA,13191,McIntosh,40.6,11.4,20.3,30.1,23.2,16.5,40.7
GA,13193,Macon,42.6,11.7,18.1,33.6,35.1,25.8,43.8
GA,13195,Madison,35.3,14.7,22.3,24.5,19.0,14.4,38.1
GA,13197,Marion,38.7,12.3,20.4,27.8,23.1,17.1,38.6
GA,13199,Meriwether,37.1,12.6,20.4,26.5,22.9,17.6,41.4
GA,13201,Miller,38.0,12.3,21.1,26.9,21.5,16.1,41.8
GA,13205,Mitchell,38.1,12.7,20.0,28.2,27.0,20.7,45.1
GA,13207,Monroe,30.3,14.8,20.0,19.7,14.7,12.2,34.9
GA,13209,Montgomery,35.6,14.1,21.1,24.3,20.8,16.1,39.4
GA,13211,Morgan,29.3,15.4,19.6,18.4,12.4,10.6,31.7
GA,13213,Murray,33.7,15.7,22.4,22.8,17.0,13.5,41.5
GA,13215,Muscogee,32.4,13.7,19.6,23.7,22.0,18.4,40.3
GA,13217,Newton,31.7,14.0,18.8,21.8,21.1,18.1,42.4
GA,13219,Oconee,23.4,16.5,19.5,13.3,7.5,7.0,28.8
GA,13221,Oglethorpe,32.5,14.6,20.8,21.9,15.7,12.6,36.4
GA,13223,Paulding,26.3,15.8,20.4,17.5,14.4,13.3,38.4
GA,13225,Peach,32.7,13.5,19.5,22.3,20.5,17.2,39.3
GA,13227,Pickens,32.2,15.0,21.8,20.1,12.8,10.1,35.0
GA,13229,Pierce,35.6,14.9,22.5,23.6,17.9,14.0,36.4
GA,13231,Pike,30.0,16.1,21.7,18.8,13.1,11.1,36.0
GA,13233,Polk,36.1,15.3,22.5,24.5,20.0,15.6,40.4
GA,13235,Pulaski,38.3,12.5,21.8,27.5,24.2,18.8,40.8
GA,13237,Putnam,35.2,12.4,19.8,24.1,17.9,13.9,39.4
GA,13239,Quitman,43.2,9.6,18.6,31.9,25.9,18.3,42.3
GA,13241,Rabun,33.7,13.4,20.5,21.8,13.0,10.0,34.2
GA,13243,Randolph,45.5,9.5,19.6,35.2,34.1,24.2,45.6
GA,13245,Richmond,34.7,13.2,20.4,25.4,25.7,21.2,36.6
GA,13247,Rockdale,32.1,12.4,17.6,22.8,22.7,19.5,39.0
GA,13249,Schley,34.0,14.2,20.8,22.8,17.1,13.6,37.4
GA,13251,Screven,36.6,12.5,20.0,26.4,23.0,17.9,40.0
GA,13253,Seminole,37.7,11.8,19.5,26.1,20.7,15.9,39.4
GA,13255,Spalding,35.6,13.2,20.0,24.8,22.3,17.6,39.7
GA,13257,Stephens,35.9,14.5,22.1,23.8,17.6,13.5,38.5
GA,13259,Stewart,39.9,14.2,17.3,31.9,34.6,26.1,41.6
GA,13261,Sumter,36.3,12.5,19.2,26.2,25.6,20.0,39.5
GA,13263,Talbot,40.6,10.5,18.5,30.2,26.6,19.6,43.1
GA,13265,Taliaferro,40.6,10.5,17.5,29.8,25.6,19.2,41.7
GA,13267,Tattnall,37.4,14.8,20.2,27.7,26.0,19.9,40.7
GA,13269,Taylor,42.2,11.6,21.0,32.2,28.5,20.3,42.4
GA,13271,Telfair,43.3,12.7,19.8,33.6,32.3,23.2,43.0
GA,13273,Terrell,42.2,11.1,19.4,32.3,31.6,23.6,43.6
GA,13275,Thomas,33.9,13.1,19.7,23.5,19.6,15.8,39.2
GA,13277,Tift,35.9,13.7,21.0,25.5,23.3,18.3,39.4
GA,13279,Toombs,36.5,13.5,20.8,25.9,22.8,17.6,40.6
GA,13281,Towns,34.7,12.3,20.3,20.8,10.8,7.9,31.9
GA,13283,Treutlen,42.3,13.2,21.8,31.4,29.2,20.9,41.2
GA,13285,Troup,33.8,14.3,20.7,24.0,21.7,17.3,36.0
GA,13287,Turner,40.9,12.2,20.8,29.8,28.0,20.7,44.4
GA,13289,Twiggs,37.8,12.2,19.1,27.4,22.2,16.9,39.7
GA,13291,Union,35.4,12.6,20.5,21.7,11.5,8.5,34.5
GA,13293,Upson,35.7,13.6,21.2,25.1,21.2,16.5,39.2
GA,13295,Walker,33.3,15.1,21.6,21.7,15.1,11.9,38.0
GA,13297,Walton,31.8,14.4,20.4,20.6,16.7,13.8,38.3
GA,13299,Ware,38.0,13.8,21.9,27.8,24.6,18.7,41.3
GA,13301,Warren,40.0,11.0,18.9,29.2,26.6,20.4,43.5
GA,13303,Washington,37.8,12.8,19.4,28.6,27.6,21.3,43.1
GA,13305,Wayne,36.6,14.6,21.6,26.6,23.5,17.9,43.3
GA,13307,Webster,40.6,11.2,19.3,29.6,25.1,18.6,42.2
GA,13309,Wheeler,38.2,14.6,19.0,28.5,26.8,20.4,41.3
GA,13311,White,31.8,14.8,21.1,20.0,12.5,9.9,35.0
GA,13313,Whitfield,33.1,15.0,20.2,24.3,20.8,16.4,37.9
GA,13315,Wilcox,38.8,13.7,19.2,28.4,24.8,19.0,42.6
GA,13317,Wilkes,38.4,11.7,19.2,27.6,23.0,17.4,40.6
GA,13319,Wilkinson,38.0,12.5,20.1,26.2,22.5,17.5,41.0
GA,13321,Worth,38.0,13.1,21.7,26.5,21.8,16.5,38.9
SC,45001,Abbeville,36.7,13.6,23.2,24.1,20.6,14.4,37.6
SC,45003,Aiken,30.5,15.5,22.7,20.4,16.4,12.7,34.4
SC,45005,Allendale,41.6,12.0,19.6,31.4,34.6,24.5,46.7
SC,45007,Anderson,34.4,14.6,25.9,21.0,17.0,12.7,36.3
SC,45009,Bamberg,39.6,12.3,20.1,27.3,27.6,19.4,42.0
SC,45011,Barnwell,40.5,13.0,22.4,29.4,30.5,21.0,44.2
SC,45013,Beaufort,27.7,16.8,18.0,15.2,12.2,9.1,29.6
SC,45015,Berkeley,31.3,16.0,22.4,18.4,16.7,12.9,37.9
SC,45017,Calhoun,34.5,13.4,21.2,22.7,19.6,14.4,40.7
SC,45019,Charleston,25.7,21.4,21.3,15.4,12.5,10.3,30.0
SC,45021,Cherokee,36.4,15.8,24.1,24.0,21.5,15.4,38.8
SC,45023,Chester,36.4,14.0,23.0,25.5,24.2,17.3,37.9
SC,45025,Chesterfield,39.6,13.9,23.1,27.1,26.7,18.1,45.2
SC,45027,Clarendon,39.6,12.6,22.0,27.6,26.0,18.0,38.0
SC,45029,Colleton,35.8,13.2,22.6,25.9,24.7,17.6,39.3
SC,45031,Darlington,35.7,14.2,22.9,25.4,24.6,17.7,45.6
SC,45033,Dillon,41.9,13.0,22.8,31.6,33.8,23.3,45.3
